Data;Descricao;Valor;Categoria;Conta;Responsável
15/12/2027;Casa;-450;Condomínio;Conta Corrente;Casal
05/07/2026;Casa;-30;Gás;Conta Corrente;Casal
05/08/2026;Casa;-30;Gás;Conta Corrente;Casal
05/09/2026;Casa;-30;Gás;Conta Corrente;Casal
05/10/2026;Casa;-30;Gás;Conta Corrente;Casal
05/11/2026;Casa;-30;Gás;Conta Corrente;Casal
05/12/2026;Casa;-30;Gás;Conta Corrente;Casal
05/01/2027;Casa;-30;Gás;Conta Corrente;Casal
05/02/2027;Casa;-30;Gás;Conta Corrente;Casal
05/03/2027;Casa;-30;Gás;Conta Corrente;Casal
05/04/2027;Casa;-30;Gás;Conta Corrente;Casal
05/05/2027;Casa;-30;Gás;Conta Corrente;Casal
05/06/2027;Casa;-30;Gás;Conta Corrente;Casal
05/07/2027;Casa;-30;Gás;Conta Corrente;Casal
05/08/2027;Casa;-30;Gás;Conta Corrente;Casal
05/09/2027;Casa;-30;Gás;Conta Corrente;Casal
05/10/2027;Casa;-30;Gás;Conta Corrente;Casal
05/11/2027;Casa;-30;Gás;Conta Corrente;Casal
05/12/2027;Casa;-30;Gás;Conta Corrente;Casal
05/07/2026;Casa;-211,18;Energia;Conta Corrente;Casal
05/08/2026;Casa;-220;Energia;Conta Corrente;Casal
05/09/2026;Casa;-220;Energia;Conta Corrente;Casal
05/10/2026;Casa;-220;Energia;Conta Corrente;Casal
05/11/2026;Casa;-220;Energia;Conta Corrente;Casal
05/12/2026;Casa;-220;Energia;Conta Corrente;Casal
05/01/2027;Casa;-220;Energia;Conta Corrente;Casal
05/02/2027;Casa;-220;Energia;Conta Corrente;Casal
05/03/2027;Casa;-220;Energia;Conta Corrente;Casal
05/04/2027;Casa;-220;Energia;Conta Corrente;Casal
05/05/2027;Casa;-220;Energia;Conta Corrente;Casal
05/06/2027;Casa;-220;Energia;Conta Corrente;Casal
05/07/2027;Casa;-220;Energia;Conta Corrente;Casal
05/08/2027;Casa;-220;Energia;Conta Corrente;Casal
05/09/2027;Casa;-220;Energia;Conta Corrente;Casal
05/10/2027;Casa;-220;Energia;Conta Corrente;Casal
05/11/2027;Casa;-220;Energia;Conta Corrente;Casal
05/12/2027;Casa;-220;Energia;Conta Corrente;Casal
05/07/2026;Casa;-134;Internet;Conta Corrente;Casal
05/07/2026;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/08/2026;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/09/2026;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/10/2026;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/11/2026;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/12/2026;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/01/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/02/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/03/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/04/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/05/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/06/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/07/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/08/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/09/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/10/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/11/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/12/2027;Apartamento;-325,05;Entrada;Conta Corrente;Casal
05/07/2026;Apartamento;-2348,59;Seguro obra;Conta Corrente;Casal
05/08/2026;Apartamento;-2459,23;Seguro obra;Conta Corrente;Casal
05/09/2026;Apartamento;-2542,21;Seguro obra;Conta Corrente;Casal
05/10/2026;Apartamento;-2625,2;Seguro obra;Conta Corrente;Casal
20/07/2026;Saúde;-3027,34;UNIMED;Conta Corrente;Casal
20/08/2026;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/09/2026;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/10/2026;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/11/2026;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/12/2026;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/01/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/02/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/03/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/04/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/05/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/06/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/07/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/08/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/09/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/10/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/11/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
20/12/2027;Saúde;-1513,67;UNIMED;Conta Corrente;Casal
28/07/2026;Carro;-2243;Financiamento;Conta Corrente;Casal
28/08/2026;Carro;-2243;Financiamento;Conta Corrente;Casal
28/09/2026;Carro;-2243;Financiamento;Conta Corrente;Casal
28/10/2026;Carro;-2243;Financiamento;Conta Corrente;Casal
28/11/2026;Carro;-2243;Financiamento;Conta Corrente;Casal
28/12/2026;Carro;-2243;Financiamento;Conta Corrente;Casal
28/01/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/02/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/03/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/04/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/05/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/06/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/07/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/08/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/09/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/10/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/11/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
28/12/2027;Carro;-2243;Financiamento;Conta Corrente;Casal
10/01/2027;Carro;-502,41;IPVA;Conta Corrente;Casal
10/02/2027;Carro;-502,41;IPVA;Conta Corrente;Casal
10/03/2027;Carro;-502,41;IPVA;Conta Corrente;Casal
10/04/2027;Carro;-502,41;IPVA;Conta Corrente;Casal
10/05/2027;Carro;-502,41;IPVA;Conta Corrente;Casal
24/07/2026;Carro;-210,1;Seguro;Conta Corrente;Casal
24/08/2026;Carro;-210,1;Seguro;Conta Corrente;Casal
24/09/2026;Carro;-210,1;Seguro;Conta Corrente;Casal
24/10/2026;Carro;-210,1;Seguro;Conta Corrente;Casal
24/11/2026;Carro;-210,1;Seguro;Conta Corrente;Casal
24/12/2026;Carro;-210,1;Seguro;Conta Corrente;Casal
24/01/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/02/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/03/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/04/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/05/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/06/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/07/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/08/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/09/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/10/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/11/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
24/12/2027;Carro;-210,1;Seguro;Conta Corrente;Casal
08/07/2026;Carro;-650;Transferência;Conta Corrente;Casal
15/07/2026;Telefone;-350;CLARO;Conta Corrente;Casal
15/08/2026;Telefone;-350;CLARO;Conta Corrente;Casal
15/09/2026;Telefone;-350;CLARO;Conta Corrente;Casal
15/10/2026;Telefone;-350;CLARO;Conta Corrente;Casal
15/11/2026;Telefone;-350;CLARO;Conta Corrente;Casal
15/12/2026;Telefone;-350;CLARO;Conta Corrente;Casal
15/01/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/02/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/03/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/04/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/05/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/06/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/07/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/08/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/09/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/10/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/11/2027;Telefone;-350;CLARO;Conta Corrente;Casal
15/12/2027;Telefone;-350;CLARO;Conta Corrente;Casal
01/07/2026;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/08/2026;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/09/2026;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/10/2026;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/11/2026;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/12/2026;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/01/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/02/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/03/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/04/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/05/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/06/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/07/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/08/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/09/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/10/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/11/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/12/2027;Empréstimo;-1486;Parcela;Conta Corrente;Casal
01/08/2026;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/09/2026;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/10/2026;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/11/2026;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/12/2026;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/01/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/02/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/03/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/04/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/05/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/06/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/07/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/08/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/09/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/10/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/11/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
01/12/2027;Empréstimo;-1240,33;Parcela;Conta Corrente;Casal
09/07/2026;Carro;-99,72;Seguro;Conta Corrente;Casal
09/08/2026;Carro;-99,72;Seguro;Conta Corrente;Casal
09/09/2026;Carro;-99,72;Seguro;Conta Corrente;Casal
09/10/2026;Carro;-99,72;Seguro;Conta Corrente;Casal
09/11/2026;Carro;-99,72;Seguro;Conta Corrente;Casal
09/12/2026;Carro;-99,72;Seguro;Conta Corrente;Casal
09/01/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/02/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/03/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/04/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/05/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/06/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/07/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/08/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/09/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/10/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/11/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
09/12/2027;Carro;-99,72;Seguro;Conta Corrente;Casal
